ID,Barack Obama,Michael Jackson,Eminem,Justin Bieber,Lady Gaga,Adolf Hitler,Lil Wayne,Rihanna,Miley Cyrus,Kim Kardashian,Selena Gomez,Steve Jobs,Nicki Minaj,Abraham Lincoln,Mark Zuckerberg,Taylor Swift,Tupac Shakur,Mila Kunis,Katy Perry,Johnny Depp,William Shakespeare,Cristiano Ronaldo,Angelina Jolie,Albert Einstein,Megan Fox,John F. Kennedy,Jay-Z,Kanye West,Nelson Mandela,Michael Jordan,Beyoncé,Britney Spears,Will Smith,Lionel Messi,Arnold Schwarzenegger,Leonardo Da Vinci,Kristen Stewart,Demi Lovato,Bill Gates,Bruce Lee,George Bush,John Cena,Leonardo DiCaprio,John Lennon,Stephen Hawking,Elvis Presley,Heath Ledger,Osama bin Laden,Charlie Sheen,Jennifer Aniston,Bob Marley,Brad Pitt,Jesus Christ,Tom Cruise,Scarlett Johansson,Sarah Palin,Robert Pattinson,Mariah Carey,Amy Winehouse,Muhammad Ali,Jennifer Lopez,Natalie Portman,Mark Wahlberg,Ronald Reagan,Justin Timberlake,Charles Manson,Sasha Grey,Emma Watson,Freddie Mercury,Bruno Mars,George Washington,Zooey Deschanel,Che Guevara,Whitney Houston,Kobe Bryant,Franklin D. Roosevelt,Snoop Dogg,Shakira,Neil Patrick Harris,LeBron James,Ryan Reynolds,Isaac Newton,Shahrukh Khan,Sylvester Stallone,Christian Bale,Lindsay Lohan,Triple H,Bill Clinton,Margaret Thatcher,Macaulay Culkin,Channing Tatum,Kaley Cuoco,Taylor Lautner,Adam Sandler,Emma Stone,Kurt Cobain,Jackie Chan,Ashton Kutcher,Salman Khan,Vanessa Hudgens,Joseph Stalin,Nikola Tesla,Kesha,Sandra Bullock,Dr. Dre,Christina Aguilera,Avril Lavigne,Elizabeth Taylor,Brittany Murphy,Jim Carrey,Sunny Leone,Manny Pacquiáo,David Beckham,Thomas Jefferson,Mitt Romney,Winston Churchill,Roger Federer,Ernest Hemingway,Julius Caesar,Muhammad,Richard Nixon,Warren Buffett,Benjamin Franklin,Theodore Roosevelt,Jenna Jameson,Mike Tyson,Charles Darwin,Al Capone,Edgar Allan Poe,Malcolm X,Walt Disney,John McCain,Sigmund Freud,Michael Phelps,Galileo Galilei,Sachin Tendulkar,Aristotle,Oprah Winfrey,Tiger Woods,Neil Armstrong,Rafael Nadal,Spartacus,Shaquille O'Neal,Karl Marx,Paris Hilton,Hugh Hefner,Marie Antoinette,Ted Bundy,Ronaldo,Usain Bolt,Fedor Emelianenko,Fidel Castro,Charles Dickens,Ronaldinho,Anne Boleyn,Jimmy Carter,Hulk Hogan,Genghis Khan,Mother Teresa,Plato,Jeffrey Dahmer,CM Punk,Fernando Torres,Napoleon Bonaparte,Friedrich Nietzsche,Randy Orton,Dwight D. Eisenhower,Queen Victoria,Donald Trump,Stephen King,Simon Cowell,Rosa Parks,Mao Zedong,Kim Jong-il,Amelia Earhart,Steve Wozniak,Oscar Wilde,Anne Frank,Mahatma Gandhi,Gautama Buddha,Guy Fawkes,John Adams,Michelle Obama,Martin Luther,Benito Mussolini,Saddam Hussein,Joe Biden,Helen Keller,J. Edgar Hoover,Wayne Rooney,Vladimir Putin,Shawn Michaels,Pope Benedict XVI,Socrates,Magic Johnson,Jeff Hardy,Mark Twain,Jacqueline Kennedy Onassis,Lyndon B. Johnson,Jane Austen,Kaká,Ayn Rand,Rosie Huntington-Whiteley,Bear Grylls,Howard Hughes,Heidi Klum,Joseph Kony,Ron Paul,Miranda Kerr,Lance Armstrong,Zlatan Ibrahimovi?,Harry S. Truman,Adriana Lima,Marie Curie,Dr. Seuss,Chris Jericho,Jesse James,Jeremy Clarkson,Woodrow Wilson,Ed Gein,Gisele Bündchen,Pablo Escobar,Hillary Rodham Clinton,Vladimir Lenin,Babe Ruth,Serena Williams,Pocahontas,Neymar da Silva,Rupert Murdoch,Nicolaus Copernicus,SIR Richard Branson,Thierry Henry,Robert F. Kennedy,Harry Houdini,Novak Djokovic,Ulysses S. Grant,Julian Assange,Maria Sharapova,Ted Kennedy,Nostradamus,Julia Child,Lee Harvey Oswald,Tyra Banks,Vince McMahon,Zinedine Zidane,Henry Ford,Wladimir Klitschko,Jackie Robinson,Bam Margera,Josef Mengele,Charlemagne,Noam Chomsky,Grigori Rasputin,Pelé,Christopher Hitchens,Kurt Angle,Alan Turing,Ryan Giggs,Aleister Crowley,Allen Iverson,Lamar Odom,Conan O'Brien,Carlos Slim Helú,Zodiac Killer,Augustus,Dwyane Wade,Nero,Simon Pegg,Dennis Rodman,Moses,Voltaire,Roger Ebert,Roald Dahl,Monica Lewinsky,Tutankhamun,Robin van Persie,George Orwell,Stephen Colbert,Carl Sagan,Didier Drogba,Dalip Singh,Immanuel Kant,Confucius,Tera Patrick,Jim Jones,Caligula,Alex Ferguson,Frederick Douglass,David Cameron,Linda Lovelace,Andrew Murray,Yao Ming,Diego Maradona,Herbert Hoover,Niccolò Machiavelli,Kim Jong-un,Kevin Durant,Wilt Chamberlain,Kate Moss,race,gender,political orientation
20,,,60,,,21,,,,,,,,69,,,,,,,,,70,,,,,,,,70,,,,,,,,,,,58,82,63,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,55,,,31,,,,,,,71,,,,29,80,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,59,,,,,,,,,,,,,,,67,,,,,0,,42,,,,,,33,,93,83,,,,,,,55,40,59,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,42,,,,,,,,,19,,,,9,,,,,55,,,,,57,,2,43,,,61,,,,,,,18,,,,,,,,,,,,,,,,55,,,,,,,,,,,89,,,,,,,,,,,,Asian,Female,Democrat
78,,39,,40,,,,,,,,,,,,,,,,,,,,80,,,,,83,,,21,60,,,,,34,,,40,,,,,,,5,,,,,,,,,,,,,42,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,33,,30,,,,,,,,,,,,,,,,,,,,,30,,,,,,27,,80,,,,,,,,,,,,,,,,,,62,79,,,,,90,,,,,,,,,,86,,,56,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,3,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,Asian,Female,Democrat
87,,30,,12,,,17,,,,,,,,,,,16,28,,,,,,16,,,26,,,65,,,,,,,,,,,,,,,,,,7,,63,,65,,,,,37,,,,63,,,,,,67,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,68,,69,,,,,,,,,,,,,,,,,69,,,61,,,,,20,,,,,25,,,64,,,,,,,,,,,29,,,,,,,,,13,,,,,,54,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,Asian,Female,Democrat
92,93,38,,,,,,,,,42,,,85,,,,,,55,,,,,,,,,72,,76,,67,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,65,,,,,,,,,,70,,,,,63,,,,,,,,,,,,,,,64,60,,,,,70,,,,,84,73,,,,,,,70,,,,71,74,,,,,,,,,,,,,,,28,,,,63,,,,,,,,,,,,,36,,83,,,,,,,,,,70,,,,,85,,,,60,,,,,,,,,72,,,68,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,55,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,Asian,Female,Democrat
149,,9,,,,,,,,,,,,,,,,,,,,,58,,,,30,,,42,,,,,,,48,,,,,45,,12,81,17,,,,,,,,,,,,,,15,37,,,,,,,,,44,,,,,,,5,,,,,,,,,,,81,,,,,20,24,,28,,41,,,,,,20,,,,,,,,15,,,,,,,,,,,,,,,,,56,,66,,,51,,,,,,,,,,,23,17,,,37,,,,,,,,21,,,,,,,,,,,,,,,,,56,,,,,,,23,,,,6,,,,69,,,,,,,,,,,57,,,,57,,,,,,,,,21,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,82,,63,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,72,,,,,,54,66,,,,,Asian,Female,Democrat
150,89,,30,,,,,62,,,,,,,,,,,,,70,,,89,,,,,76,,70,61,,,55,,,,,,68,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,21,61,64,,,,,,,,,64,74,,,30,,,,,,72,,,29,,,,,,,,,,,,59,,,,,88,,,,,,,,,71,,,,,,,,,,,,,,,,,,25,,,0,,,,39,,,,,,76,,,,,,70,,,72,,,62,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,35,,,66,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Asian,Female,Democrat
21,,,,,,,,,20,,,90,,91,,,80,,40,,,,,,,,,,,,,,,,,,40,,,,,,,,85,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,40,,,,,70,30,,,,,,,,9,,,,,,,,,,,,,,,,,60,,,,,100,,,,,,,,,,85,66,,,,91,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,60,,,,,,,80,,,60,,,,100,100,30,,,,,,,,50,,60,,,,,,,,80,,,40,,,,,,,,,,,,,,,,,80,,,,80,70,,75,,,70,,,,71,,,90,,,,,,,30,40,,71,,,,,50,63,,,,,,,,60,,,,,,40,,,,,,,,,70,,,,,,,,,,,,,,,,60,,,,70,,,,,Asian,Male,Democrat
31,,,,,,,35,,,,,,,85,,50,,,,,,,,,45,,,,80,,,,,,,70,40,,,70,,,,,,,55,,,,,,90,45,45,,,,,,,,,,,,,50,,,85,,75,,,,,,,,,,,,55,,,,,,,50,,,,,,,,40,,,,,,,,,,,,,,,,,,50,,,,,,,,65,,,,70,,,,,,,,,,,,,75,,,50,35,,55,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,70,,,,,,,,,,,,,,,,60,,,,,,,50,,,,,,,,,20,,60,,,,,,,,,70,,,,,,45,,,,,20,,,,,,70,40,,85,80,,,,,,,,,,55,,,,,,,50,,75,,,45,,,,,,,,,,,,,,,,,,,,,,,,,50,Asian,Male,Democrat
45,,,39,,,,,,36,6,,95,,,,,17,,,,,,,,37,84,,,,,,,,,,,,,,,,,,45,35,,,,,,,65,,,,,,,,,,,,60,,,,,,,91,,,,,,26,,,,,,,,45,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,85,,,9,,,,,,66,,,,,,,,36,,,44,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,75,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,35,,,,,,,,,,,66,,,,,,,,,,,,Asian,Male,Democrat
59,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,65,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,20,,5,,,,,,,,,,,,,,,,,,10,,,,,,,,,0,,,5,,,,,,,,,,,,,,,,,,,,,,15,,,60,,,,,,,,,,,,,,,,,26,,,,,,,55,,,,,,,,,60,,,,,,,,,,46,75,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,60,,,,30,55,,,,,,,,,,,,40,,5,,,,,0,,,,,,,,,,,,,,40,,,,,,,,,50,,,,,,,0,,,,,,,,,,,,,,,,,,56,,,,,,,0,,,,,,,0,,,,Asian,Male,Democrat
81,,,,,,,,,,,,,,,,,,,19,52,,,,,4,,,,90,,,,71,,65,72,26,,,63,,35,58,,60,64,,86,,,,,,,,,,30,,,,,,,35,,,,43,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,2,,,,,,,92,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,28,,,,,,,53,55,,,,,81,,69,,,,,,,,,,,,,,,,,65,92,,72,,,,77,,75,,,,,,,,,,,,,,,,,,,,,,,31,44,,,,58,,,,,,,,,,,,,,,,,,,,,88,,,78,,20,62,,,,,,71,,,68,,,,,,,,,45,20,,,,78,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,6,Asian,Male,Democrat
141,93,,78,,,,,63,,,,,,,,,,,,,,46,,,,,36,,,,,,,,,,,,86,,46,,,67,,,,,,,,,,,,,56,,,94,,,,,,,,,,,100,,,,,83,,,,,,,,,,,90,,73,,72,,,,,,,,,,61,,,,53,,,,,,,,46,77,,,,,,,,60,,,,,,,41,,,,,,72,,,37,,72,,,83,,,,,0,,,,,,58,,,,,,,0,,,84,,,77,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,53,29,,,69,,,,,,72,,,,2,,,,,,,,,,,,,,58,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,46,,,,,,,,,,,,,Asian,Male,Democrat
190,,,,,,,86,,,,,,,,,,78,,,,,,,,,,76,,,,,,88,,,,23,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,88,,,,,,,,,,,,100,,,,,,,,,,93,82,,,,,,,,,,,,,,,,95,,,,0,95,,,,,,,,,,69,,,86,,,,,,,,,,,,,,39,90,,,95,,,,97,,,,,,,,,,,,,,,,88,,,,,,,,,,,,89,,,,,,,,,,72,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,96,,,,,,68,,,,,,,,,,,,97,,80,,,,,,11,,,,Asian,Male,Democrat
193,,,,20,,,56,,,,,,,,,,,69,,,,78,,,,,,,,,,,55,,,,,29,,100,,,,,,,,,,,,72,,27,,,,,63,,51,,,,,0,,57,,,,,,,,,,,54,,,68,,,,,,,,,,,,,58,,,,,,,,,,74,51,,,,,,,71,,,97,,,,,,100,81,76,,,,,,,,,,,65,,,,55,,,,,,0,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,61,,,64,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,51,,,,,,55,,37,,,,,,,,,,,,,,,,,,,66,,,,,100,,,,,,,,,,,,,,,,,,77,,,67,,,,,11,,,,,,,,,,,,,,,,,,,60,,,,,,,Asian,Male,Democrat
210,,,,25,,,,,,,,,92,,,,,,,,,,,,,,,,,,,,,,59,35,,,,,33,,,,,,,,,25,,,100,,,,,,29,,,,,,,,,,,,,,,,20,,,,,62,,41,,,,,,,68,17,60,,,,,58,,50,,,2,,,,1,,,,,,,7,,,,,,,83,22,,,,,,,,,,,,,,,,,,,0,,100,,39,,,81,,,,,,,42,2,,,0,,36,,,,,39,,,,,,,,74,,,,,32,,,,,7,23,86,,,,14,,,0,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,27,,,32,,,,,,,,1,,27,,28,,,,,,,,,19,,,,,,,2,,,,,,,,22,,,,,,,0,,,,,,,,39,,,Black or African American,Female,Democrat
112,100,,27,,,40,61,,,,,,,,79,,,,,18,,81,,,,,,,,,,,,,,32,,,,,,,,,,,,,27,,,21,,,,,,,,,,,,2,,,,,,,,,,,,,,,,80,,,,,,13,35,,,,,,,,,,,,,,,,,,57,,43,,,,,,,,,,,,,,,,,,,60,,,,,68,,,,,,,,33,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,59,,16,,31,,,43,5,,,,,,,,,61,67,,,,,,75,,,,59,,,,60,,,,28,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,29,31,,,Black or African American,Male,Democrat
177,100,,,,,0,26,,,6,,,16,,,20,,0,,,,,78,100,54,,80,,,,,,,31,,,,70,79,,,,,,,,,,0,,,,,38,,44,,,,,,,,68,17,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,100,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,76,,,,,,,,,,,,,74,,81,,,,,50,,,,,,,,,,,,70,,,,,,,,0,,,,,,,,,,100,22,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,100,,,,,,,,,,,,Black or African American,Male,Democrat
52,92,,,,82,,,,,,19,,,93,,,,,,,,,,,,,,41,100,,92,51,75,,,51,,,,80,,,,,,,,,,,70,,91,,,,,,,62,,,,51,,,,,,,,,,67,,74,,,,,,,,,56,,41,,43,,,,,51,44,,81,61,,,,,,,,59,,40,,,,,,,,,,54,,,,,,,,,71,,,,,,,,54,,,,,,,,,,,,,30,,,,,,,,,,,,,2,,,,,,,,,59,,,,,,,,,,,,62,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,Other,Female,Democrat
56,,,,,,,,,11,22,,100,,,,21,,,,,,,51,,,,,,,,,,100,,,,,,97,,,,,,51,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,82,,,51,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,88,,,,77,,,,,,,,,,,,,,,51,,,,,,,,,,,51,,,,,,,,,,,,,13,,,,,,,,,0,,,,,,,,,,,,,,73,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Female,Democrat
103,,,,,,,,30,,,,,,,,,,,60,20,,,,,,90,,,,,,,40,,,60,,35,,,,,30,,,,10,,,,45,,,,75,,10,20,,,,70,,,,,,,40,40,,,,,,,,30,80,,10,40,,,45,,,,,15,,,,,40,,,60,,20,,,40,,80,,,,,,,,,,,,,,,,,,,,,,,,,,70,,20,,40,,,,,,,,70,,,,,,60,,,,0,,,,,90,,,,,,,,,,,,,,90,,,,,,80,,,,,100,,,,,100,30,,,,,80,,,,,,,,,,,,,20,,,,,,,,55,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,30,,,Other,Female,Democrat
159,100,,,,12,55,,,,,,,,,19,,,,,,,,,,,,,,,3,10,,,,,,0,,,9,,,,,,,,,,,,0,40,,,,,,,,0,,0,53,,,,0,,,,,,,,98,,,,,1,49,,,,,,,83,0,,,,,,,,,,,,,0,,,,,,,,,,,,8,72,,,,,,,,,,0,,,,,,,51,,53,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,79,,,,,,,,,,,,,,,,89,,,,,,,,,,,,36,,,4,,,,,,0,,,,,,,0,,,,,,,12,,0,3,,,,,51,,,,,,,,,,,9,,,,,,,,,,,,,,98,,,,71,,,22,,,,,,,71,,,,,65,,,,,,14,,62,,,,,,,,,,,,,,,,,86,,,,,Other,Female,Democrat
163,,29,,,,,,,,0,,,,,84,,,61,27,,,,,,40,,29,,,,,,66,,,,,,80,,,,,,,,,,,,,,,50,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,40,,,,,,0,,,,,,,,,,,,,,,,,,51,,,,,,80,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,77,,,,,72,,,,,,,,83,,,,67,,,,,,,,,,,71,,,,,,63,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,Other,Female,Democrat
172,,,,51,,,,49,,22,,,17,,,,,,,61,91,,,,,,,,85,,,35,,,51,,,,55,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,89,51,,,,,,,,55,,,,66,34,58,,,,,,,,,,,,,,,,,,,,,,,,,,,74,34,,,,,,,,,,80,,,60,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,86,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,0,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Female,Democrat
62,,19,,,,,,,,,,,,,,,20,,19,22,,,,,20,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,23,,,,,,20,,,19,,,,,,,23,,,,,,73,,,,,,,,19,,,,,,,,,,,,19,,,,,40,36,,20,,,,,,19,,,18,,,,,,,,,,,,,,,,,,40,,,,,,,23,,,,52,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,50,,,,,,16,,,,,,,,,,,,18,,,33,,,40,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,20,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,30,,,,Other,Male,Democrat
84,,21,,,,,,29,,,,,,,60,,,,,,,,,,19,,,,64,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,35,69,,,16,,,,19,,,,,,,19,,,65,,,19,,,,,,,,,,,55,,19,,,,,,22,,,,,,,,,55,71,,,,,,,35,,,,56,,,19,41,,,,,,,,,30,,,,,,25,,,,,45,,,,63,85,,,,,,,,45,19,34,,,,,,,,,,,,,,,,,59,,75,,,,,,,,37,,,29,,,,,,,,,,,,,,,,,,,,,,,,41,,28,,,,,,,56,,,,,,,17,26,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,35,,,27,,Other,Male,Democrat
125,,,63,,,,,,13,,,,,91,,,,,,,,5,,,0,,49,,,,,,,,,33,,,,,25,16,,21,,,,,,61,,,,,,,,,,,,,,7,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,50,,17,,,,32,,,,,,,,,,,,,,,,,,,,0,,,0,,,72,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,21,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,23,Other,Male,Democrat
