id  ,speaker            ,year ,where                      ,source
_0  ,"Robert Smith"     ,2019 ,"Morehouse College"        ,"https://singjupost.com/robert-f-smiths-commencement-speech-at-morehouse-full-transcript/"
_1  ,"Tim Cook"         ,2019 ,"Tulane University"        ,"https://www.iphonejd.com/iphone_jd/2019/05/transcript-tim-cook-tulane.html"
_2  ,"Will Ferrell"     ,2017 ,"USC"                      ,"https://time.com/4778112/will-ferrell-usc-university-of-southern-california-commencement-graduation-read-transcript/"
_3  ,"Michelle Obama"   ,2016 ,"City College of New York" ,https://www.ccny.cuny.edu/commencement/commencement-address-first-lady-michelle-obama
_4  ,"Conan Oâ€™Brien"    ,2011 ,"Dartmouth College"        ,"https://teamcoco.com/content/watch-conan-give-dartmouth-college-commencement-address"
_5  ,"Toni Morrison"    ,2004 ,"Wellesley College"        ,"http://www.humanity.org/voices/commencements/toni-morrison-wellesley-college-speech-2004"
_6  ,"Joss Whedon"      ,2013 ,"Wesleyan University"      ,"http://newsletter.blogs.wesleyan.edu/2013/05/26/whedoncommencement/"
_7  ,"JK Rowling"       ,2008 ,"Harvard"                  ,"https://www.harvardmagazine.com/2008/06/the-fringe-benefits-failure-the-importance-imagination"
_8  ,"Steven Spielberg" ,2016 ,"Harvard"                  ,"https://news.harvard.edu/gazette/story/2016/05/spielberg-find-a-villain-to-vanquish/"
_9  ,"Oprah Winfrey"    ,2008 ,"Stanford"                 ,"https://news.stanford.edu/news/2008/june18/como-061808.html"
_10 ,"Steve Jobs"       ,2005 ,"Stanford"                 ,"https://www.businessinsider.com/the-full-text-of-steve-jobs-stanford-commencement-speech-2011-10?IR=T"
_11 ,"Nora Ephron"      ,1996 ,"Wellesley College"        ,"https://www.wellesley.edu/events/commencement/archives/1996commencement"